Found 1614 results
17525980	Altered functional connectivity of primary visual cortex in early blindness.	Department of Radiology, Xuanwu Hospital of Capital University of Medical Sciences, Beijing, China.
22960086	Recovery of the default mode network after demanding neurofeedback training occurs in spatio-temporally segregated subnetworks.	Department of Radiology and Medical Informatics, University of Geneva, Switzerland. Dimitri.VanDeVille@epfl.ch
11039342	Mapping functionally related regions of brain with functional connectivity MR imaging.	Department of Medical Physics, University of Wisconsin, Madison, USA.
23065648	Resting state fMRI-guided fiber clustering: methods and applications.	School of Automation, Northwestern Polytechnic University, Xian, China.
18657923	Spontaneous low-frequency blood oxygenation level-dependent fluctuations and functional connectivity analysis of the 'resting' brain.	Academic Radiology, Queen's Medical Centre, University of Nottingham, Nottingham, UK. dorothee.auer@nottingham.ac.uk
22032947	Caffeine increases the temporal variability of resting-state BOLD connectivity in the motor cortex.	Center for Functional Magnetic Resonance Imaging and Departments of Radiology and Bioengineering, University of California San Diego, La Jolla, CA 92093-0677, USA.
21349545	Brain plasticity in relapsing-remitting multiple sclerosis: evidence from resting-state fMRI.	Department of Radiology, Xuanwu Hospital, Capital Medical University, Beijing, 100053, PR China.
22241376	Spontaneous brain activity in mild cognitive impairment revealed by amplitude of low-frequency fluctuation analysis: a resting-state fMRI study.	Department of Radiology, Tongji Hospital of Tongji University, 389 Xin Cun Road, Shanghai, 200065, P.R. China.
22334332	A method to determine the necessity for global signal regression in resting-state fMRI studies.	Department of Biophysics, Medical College of Wisconsin, Milwaukee, Wisconsin 53226, USA.
22227048	Resting oscillations and cross-frequency coupling in the human posteromedial cortex.	Laboratory of Behavioral and Cognitive Neurology, Department of Neurology and Neurological Sciences, School of Medicine, Stanford University, 300 Pasteur Drive Rm A343 Stanford, CA 94305-5235, USA.
21664280	Beyond acute social stress: increased functional connectivity between amygdala and cortical midline structures.	Leiden Institute for Brain and Cognition, Leiden, The Netherlands. i.m.veer@lumc.nl
19627647	Neuroimaging in cannabis use: a systematic review of the literature.	Section of Neuroimaging, PO67 Division of Psychological Medicine, Institute of Psychiatry, King's College London, UK. rmsantos@clinic.ub.es
20130360	Brain functional connectivity of functional magnetic resonance imaging of patients with early-onset schizophrenia.	Department of Radiology, Second Xiangya Hospital, Central South University, Changsha 410011, China.
23206930	Reward circuit connectivity relates to delay discounting in children with attention-deficit/hyperactivity disorder.	Department of Behavioral Neuroscience, Oregon Health & Science University, Portland, OR, USA. tacigcdias@yahoo.com.br
22218274	Disruptions of functional connectivity in the default mode network of comatose patients.	Graduate Program in Neuroscience, Department of Clinical Neurological Sciences, University of Western Ontario, London, Canada. Loretta.Norton@lhsc.on.ca
20530220	Neural origin of spontaneous hemodynamic fluctuations in rats under burst-suppression anesthesia condition.	Center for Magnetic Resonance Research, Department of Radiology, University of Minnesota, Minneapolis, MN 55455, USA.
19913622	When less is more: TPJ and default network deactivation during encoding predicts working memory performance.	Department of Psychology, Campus Box 1125, Washington University, Saint Louis, MO 63130, USA. aanticev@artsci.wustl.edu
21925611	Improving measurement of functional connectivity through decreasing partial volume effects at 7 T.	Vanderbilt University Institute of Imaging Science, Department of Radiology and Radiological Science, 1161 21st Avenue South, Medical Center North, AA-1105, Nashville, TN 37232-2310, USA. Allen.t.newton@vanderbilt.edu
12165349	Hierarchical clustering to measure connectivity in fMRI resting-state data.	Department of Radiology, University of Washington, Seattle, Washington, USA. dcordes@u.washington.edu
20600983	Network-based statistic: identifying differences in brain networks.	Melbourne Neuropsychiatry Centre, Department of Psychiatry, The University of Melbourne and Melbourne Health, Australia. azalesky@unimelb.edu.au
21851856	The effects of APOE on the functional architecture of the resting brain.	Functional Magnetic Resonance Imaging of the Brain (FMRIB) Centre, University of Oxford, Department of Clinical Neurology, John Radcliffe Hospital, Headington, Oxford, OX3 9DU, United Kingdom.
19409498	Abnormalities of intrinsic functional connectivity in autism spectrum disorders.	Department of Psychology, University of Michigan, 530 Church St., Ann Arbor MI 48109, USA. csmonk@umich.edu
22987723	Specific frequency bands of amplitude low-frequency oscillation encodes personality.	Key Laboratory for Neuroinformation of Ministry of Education, School of Life Science and Technology, University of Electronic Science and Technology of China, Chengdu, People's Republic of China.
22820143	Altered resting state functional brain network topology in chemotherapy-treated breast cancer survivors.	Department of Psychiatry and Behavioral Sciences, Stanford University School of Medicine, Stanford, CA 94305, USA.
16246590	Identification of large-scale networks in the brain using fMRI.	Unité 678, INSERM/UPMC, 91 Boulevard de l'Hôpital, 75634 Paris Cedex 13, France. pbellec@imed.jussieu.fr
23092697	Abnormal network connectivity in frontotemporal dementia: Evidence for prefrontal isolation.	Rotman Research Institute, Baycrest Centre, Toronto, Ontario, Canada. Electronic address: nfarb@rotman-baycrest.on.ca.
17399900	Functional dysconnectivity of the dorsolateral prefrontal cortex in first-episode schizophrenia using resting-state fMRI.	National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, Beijing 100080, and Institute of Mental Health, Second Xiangya Hospital, Central South University, Hunan, PR China.
20625794	Comparison of functional connectivity in default mode and sensorimotor networks at 3 and 7T.	Sir Peter Mansfield Magnetic Resonance Centre, School of Physics and Astronomy, University of Nottingham, University Park, Nottingham, NG7 2RD, UK.
21980485	Cerebral blood flow during rest associates with general intelligence and creativity.	Smart Ageing International Research Center, Institute of Development, Aging and Cancer, Tohoku University, Sendai, Japan. takehi@idac.tohoku.ac.jp
21854968	Spectral characteristics of resting state networks.	Biomedical Physics Department, King Faisal Specialist Hospital & Research Centre, Riyadh, Saudi Arabia.
21216267	Structural and functional neuroimaging studies of the suicidal brain.	University Department of Psychiatry, University Hospital Ghent, Belgium, De Pintelaan 185, 9000 Ghent, Belgium. stefanie.desmyter@ugent.be
21908484	Gender-related differences in functional connectivity in multiple sclerosis.	Department of Radiology, VU University Medical Center, Amsterdam, The Netherlands. m.schoonheim@vumc.nl
22307385	Assessing brain connectivity at rest is clinically relevant in early multiple sclerosis.	Aix-Marseille Univ, CRMBM, UMR 6612, 13005, Marseille, France.
21489346	Evidence for involvement of the insula in the psychotropic effects of THC in humans: a double-blind, randomized pharmacological MRI study.	Rudolf Magnus Institute of Neuroscience, Department of Neurology and Neurosurgery, University Medical Center Utrecht, Utrecht, The Netherlands.
21683942	The default mode network and EEG α oscillations: an independent component analysis.	Institute of Physiology, Siberian Branch of the Russian Academy of Medical Sciences, Novosibirsk, Russia. knyazev@physiol.ru
19463891	Changes of functional connectivity of the motor network in the resting state in Parkinson's disease.	Department of Neurobiology, Key Laboratory on Neurodegenerative Disorders of Ministry of Education, Beijing Institute of Geriatrics, Xuanwu Hospital, Capital Medical University, Beijing, China. wutao69@gmail.com
23199001	Association of the interleukin 1 beta gene and brain spontaneous activity in amnestic mild cognitive impairment.	Medical School of Southeast University, Nanjing, Jiangsu 210009, China.
21613469	Motor "dexterity"?: Evidence that left hemisphere lateralization of motor circuit connectivity is associated with better motor performance in children.	Kennedy Krieger Institute, Baltimore, MD 21205, USA. adbarber@gmail.com
21203551	Altered effective connectivity network of the amygdala in social anxiety disorder: a resting-state FMRI study.	Key Laboratory for NeuroInformation of Ministry of Education, School of Life Science and Technology, University of Electronic Science and Technology of China, Chengdu, People's Republic of China.
19559557	A serial functional connectivity MRI study in healthy individuals assessing the variability of connectivity measures: reduced interhemispheric connectivity in the motor network during continuous performance.	Department of Neurology, University Hospital of Basel, Basel, Switzerland. mamann@uhbs.ch
23169775	Comparative study of regional homogeneity in schizophrenia and major depressive disorder.	National Laboratory of Medical Molecular Biology, Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences, Peking Union Medical College, Tsinghua University, Beijing, P.R. China.
22541167	Thirty minute transcutaneous electric acupoint stimulation modulates resting state brain activities: a perfusion and BOLD fMRI study.	Neuroscience Research Institute, Peking University, Beijing, China.
22040294	Default mode network in concussed individuals in response to the YMCA physical stress test.	Department of Kinesiology, The Pennsylvania State University, University Park, Pennsylvania 16802, USA.
21797469	Uniform approach to linear and nonlinear interrelation patterns in multivariate time series.	Support Center for Advanced Neuroimaging, Institute of Diagnostic and Interventional Neuroradiology, Inselspital, Bern University Hospital, University of Bern, CH-3010 Bern, Switzerland. crummel@web.de
17979117	Integrated local correlation: a new measure of local coherence in fMRI data.	WHC Department of Biomedical Engineering, Georgia Institute of Technology and Emory University, Atlanta, Georgia 30322, USA.
22975159	Studying the topological organization of the cerebral blood flow fluctuations in resting state.	Neuroinformatics Department, Cuban Neuroscience Center, Cuba. lester@cneuro.edu.cu
22830966	Modeling fluctuations in default-mode brain network using a spiking neural network.	Department of Management Information Science, Fukui University of Technology, Fukui, 910-8505, Japan. yamanisi@fukui-ut.ac.jp
19930640	A resting state network in the motor control circuit of the basal ganglia.	Functional Neuroimaging Laboratory, Center for Mind/Brain Sciences, University of Trento, Trento, Italy. simon.robinson@meduniwien.ac.at
21901425	Toward dysfunctional connectivity: a review of neuroimaging findings in pediatric major depressive disorder.	Mood and Emotional Disorders Across the Lifespan Center, Department of Psychiatry, Indiana University School of Medicine, Indianapolis, IN, USA. lhulvers@iupui.edu
22711376	Intrinsic resting-state activity predicts working memory brain activation and behavioral performance.	Neuroimaging Research Branch, National Institute on Drug Abuse, National Institutes of Health, Baltimore, Maryland; MRI Research Center and Beijing City Key Lab for Medical Physics and Engineering, Peking University, Beijing, China; State Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University, Beijing, China.
22440653	The behavioral significance of coherent resting-state oscillations after stroke.	Division of Neurorehabilitation, University Hospital of Geneva, Switzerland.
22575084	Altered amygdala function in nicotine addiction: insights from human neuroimaging studies.	Department of Psychiatry, University of Bonn, Sigmund-Freud-Strasse 25, 53105 Bonn, Germany. Yoan.Mihov@ukb.uni-bonn.de
22819192	Genetic control of functional brain network efficiency in children.	Department of Psychiatry, Rudolf Magnus Institute of Neuroscience, University Medical Center Utrecht, Heidelberglaan 100, 3508 GA Utrecht, P.O. Box 85500, The Netherlands. M.P.vandenheuvel@umcutrecht.nl
20473549	Increased sleep pressure reduces resting state functional connectivity.	Max Planck Institute of Psychiatry, Neuroimaging Research Group, Kraepelinstr. 2-10, 80804, Munich, Germany. saemann@mpipsykl.mpg.de
21496789	Variable global dysconnectivity and individual differences in schizophrenia.	Department of Psychology, Washington University, St. Louis, Missouri 63130, USA. mwcole@mwcole.net
20004180	Alterations of resting state functional connectivity in the default network in adolescents with autism spectrum disorders.	Department of Psychology, University of Michigan, Ann Arbor, MI 48109, USA. wengjen@u.washington.edu
22433046	Tractography: where do we go from here?	FMRIB Centre, University of Oxford, United Kingdom. saad@fmrib.ox.ac.uk
22451917	Hierarchical clustering of brain activity during human nonrapid eye movement sleep.	Cyclotron Research Centre, University of Liège, 4000 Liège, Belgium.
20512372	Role of the anterior insula in task-level control and focal attention.	Department of Neurology, School of Medicine, Washington University, 4525 Scott Ave, Saint Louis, MO 63110, USA. stevenelson@wustl.edu
20439733	Neural basis of global resting-state fMRI activity.	Unit on Cognitive Neurophysiology and Imaging, Laboratory of Neuropsychology, National Institute of Mental Health, National Institutes of Health, Bethesda, MD 20892, USA.
10487166	Photosensitive epilepsy studied by functional magnetic resonance imaging and magnetic resonance spectroscopy.	Neurology Department, Massachuetts General Hospital, Boston 02214, USA. chiappa@helix.mgh.harvard.edu
12506194	Functional connectivity in the resting brain: a network analysis of the default mode hypothesis.	Department of Psychiatry and Behavioral Sciences, Stanford University School of Medicine, CA 94305-5719, USA. greicius@stanford.edu
22890098	Functional MRI of mnemonic networks across the spectrum of normal aging, mild cognitive impairment, and Alzheimer's disease.	Center for Alzheimer Research and Treatment, Brigham and Women's Hospital, Massachusetts General Hospital, Harvard Medical School, Boston, MA 02114, USA. jchhatwal@partners.org
23010311	A preliminary study of alterations in default network connectivity in post-traumatic stress disorder patients following recent trauma.	Department of Radiology, Ren Ji Hospital, Jiao Tong University School of Medicine, Shanghai 200127, PR China.
22245641	Changes in regional cerebral blood flow and functional connectivity in the cholinergic pathway associated with cognitive performance in subjects with mild Alzheimer's disease after 12-week donepezil treatment.	Department of Biophysics, Medical College of Wisconsin, Milwaukee, WI 53226, USA. wli@mcw.edu
22105156	FMRI as a measure of cognition related brain circuitry in schizophrenia.	Departments of Psychology and Psychiatry, University of California at Davis, Davis, CA, USA, jdragland@ucdavis.edu.
22872066	Self-reported nocturnal sleep duration is associated with next-day resting state functional connectivity.	Social, Cognitive and Affective Neuroscience Lab, McLean Hospital, Harvard Medical School, Belmont, Massachusetts 02478, USA. killgore@mclean.harvard.edu
19393717	Impaired attention network in temporal lobe epilepsy: a resting FMRI study.	Department of Medical Imaging, Jinling Hospital, Nanjing University School of Medicine, Nanjing 210002, China.
21497489	Regional contraction of brain surface area involves three large-scale networks in schizophrenia.	Division of Psychiatry, University of Nottingham, A Floor, South Block, Queen's Medical Centre, Nottingham, NG7 2UH, United Kingdom. Lena.Palaniyappan@nottingham.ac.uk
21653723	The organization of the human cerebral cortex estimated by intrinsic functional connectivity.	Harvard University, Department of Psychology, Center for Brain Science, Cambridge, MA 02138, USA.
21060689	Motor network degeneration in amyotrophic lateral sclerosis: a structural and functional connectivity study.	Department of Neurology, Rudolf Magnus Institute of Neuroscience, University Medical Centre Utrecht, Utrecht, The Netherlands.
22461412	Cerebral somatic pain modulation during autogenic training in fMRI.	Department of Neurosurgery, University Hospital Essen, University Duisburg-Essen, Germany.
21283729	Imaging of functional connectivity in the mouse brain.	Department of Physics, Washington University, St Louis, Missouri, United States of America.
19621371	Test-retest reproducibility of the default-mode network in healthy individuals.	Institute for Clinical Radiology, University of Munich, Ziemssenstrasse 1, Munich, Germany. Thomas.meindl@med.uni-muenchen.de
22898701	Separating 4D multi-task fMRI data of multiple subjects by independent component analysis with projection.	State Key Lab of Cognitive Neuroscience and Learning, Beijing Normal University, Beijing 100875, China.
17679691	Development of distinct control networks through segregation and integration.	Departments of Neurology, Washington University, St. Louis, MO 63110, USA. damien.fair@wustl.edu
22848692	Altered regional homogeneity in the development of minimal hepatic encephalopathy: a resting-state functional MRI study.	Department of Medical Imaging, Jinling Hospital, Clinical School of Medical College, Nanjing University, Nanjing, China.
22224834	Default mode network activity and connectivity in psychopathology.	Department of Brain and Cognitive Sciences, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA. swg@mit.edu
22691174	Widespread epileptic networks in focal epilepsies: EEG-fMRI study.	Montreal Neurological Institute, McGill University, Montréal, Québec, Canada.
23299240	Glutamatergic function in the resting awake human brain is supported by uniformly high oxidative energy.	Magnetic Resonance Research Center, Yale University, New Haven, Connecticut 06520, USA. fahmeed.hyder@yale.edu
17959471	Functional classification of schizophrenia using feed forward neural networks.	Olin Neuropsychiatry Research Center at the Institute of Living in Hartford, CT 06012, USA. mjafri@harthosp.org
21765344	The default mode network in late-life anxious depression.	Department of Psychiatry, University of Pittsburgh Medical Center, PA, USA.
22908362	Executive resting-state network connectivity in migraine without aura.	Department of Neurological Sciences, Second University of Naples, Naples 80138, Italy.
19457356	Caffeine reduces resting-state BOLD functional connectivity in the motor cortex.	Center for Functional Magnetic Resonance Imaging, University of California San Diego, La Jolla, CA 92093-0677, USA.
23146964	Tracking Whole-Brain Connectivity Dynamics in the Resting State.	The Mind Research Network, Albuquerque, New Mexico 87106, USA.
19695814	Images-based suppression of unwanted global signals in resting-state functional connectivity studies.	MARBILab, Museo storico della fisica e Centro di studi e ricerche "Enrico Fermi" Roma, Italy. federico.giove@roma1.infn.it
16919409	Altered baseline brain activity in children with ADHD revealed by resting-state functional MRI.	National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, Beijing, China. zangyf@263.net
19931310	Use of fNIRS to assess resting state functional connectivity.	State Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University, Beijing 100875, PR China.
19450664	Dysfunctional connectivity patterns in chronic heroin users: an fMRI study.	Life Science Research Center, School of Electronic Engineering, Xidian University, Xi'an, Shaanxi 710071, China.
20169464	Is sedation-induced BOLD fMRI low-frequency fluctuation increase mediated by increased motion?	Academic Radiology, University of Nottingham, Queen's Medical Centre, Nottingham, NG7 2UH, UK, jaroslav.hlinka@gmail.com.
22186675	Orbitofrontal connectivity with resting-state networks is associated with midbrain dopamine D3 receptor availability.	Centre for Neuroscience, Division of Experimental Medicine, Imperial College London, London W12 0NN, UK.
21696709	Non-invasive electrical stimulation of the brain (ESB) modifies the resting-state network connectivity of the primary motor cortex: a proof of concept fMRI study.	University of Maryland, School of Medicine, Department of PTRS, Baltimore, MD 21201, USA. galon@som.umaryland.edu
19862509	Neuroimaging after coma.	Coma Science Group, Cyclotron Research Center, University and University Hospital of Liège, Sart-Tilman, B30 Liège, Belgium.
20569651	Switching between executive and default mode networks in posttraumatic stress disorder: alterations in functional connectivity.	Department of Psychiatry, Schulich School of Medicine and Dentistry, The University of Western Ontario, London, Ont., Canada.
22069078	Modulatory effects of acupuncture on resting-state networks: a functional MRI study combining independent component analysis and multivariate Granger causality analysis.	Medical Image Processing Group, Institute of Automation, Chinese Academy of Sciences, Beijing, China.
21067612	Modulating spontaneous brain activity using repetitive transcranial magnetic stimulation.	Sleep and Cognition, Netherlands Institute for Neurosciences, Royal Netherlands Academy of Arts and Sciences, Meibergdreef 47, Amsterdam, The Netherlands. y.van.der.werf@nin.knaw.nl
21248238	Classification of Alzheimer disease, mild cognitive impairment, and normal cognitive status with large-scale network analysis based on resting-state functional MR imaging.	Department of Biophysics, Medical College of Wisconsin, 8701 Watertown Plank Rd, Milwaukee, WI 53226, USA.
20885292	Breakdown of within- and between-network resting state functional magnetic resonance imaging connectivity during propofol-induced loss of consciousness.	Department of Anesthesia and Intensive Care Medicine, University of Liège, Liège, Belgium.
18350136	Modulation of brain resting-state networks by sad mood induction.	Melbourne Neuropsychiatry Centre, Department of Psychiatry, The University of Melbourne and Melbourne Health, Victoria, Australia. habj@unimelb.edu.au
21092355	Neuropsychology 3.0: evidence-based science and practice.	Jane and Terry Semel Institute for Neuroscience & Human Behavior at UCLA, Los Angeles, California 90095, USA. rbilder@mednet.ucla.edu
21572088	Resting-state functional connectivity of the medial superior frontal cortex.	Department of Psychiatry, Yale University, New Haven, CT 06519, USA. sheng.zhang@yale.edu
20621162	Gray matter deficits and resting-state abnormalities in abstinent heroin-dependent individuals.	Life Sciences Research Center, School of Life Sciences and Technology, Xidian University, Xi'an 710071, China.
21626860	[Anesthetic mechanisms revealed by functional brain imaging].	Department of Anesthesia, Kyoto University Graduate School of Medicine, Kyoto 606-8507.
18584959	fMRI differences between early and late stage-1 sleep.	Division of Psychiatry and Neuroscience, Walter Reed Army Institute of Research, Silver Spring, MD 20910, USA. dante.picchioni@amedd.army.mil <dante.picchioni@amedd.army.mil>
17434757	Amplitude of low frequency fluctuation within visual areas revealed by resting-state functional MRI.	Huaxi MR Research Center (HMRRC), Department of Radiology, West China Hospital of Sichuan University, Chengdu, China.
22574926	Linking brain connectivity across different time scales with electroencephalogram, functional magnetic resonance imaging, and diffusion tensor imaging.	Department of Psychiatric Neurophysiology, University Hospital of Psychiatry, University of Bern, Bern, Switzerland. jann@puk.unibe.ch
19172624	Functional connectivity between the thalamus and visual cortex under eyes closed and eyes open conditions: a resting-state fMRI study.	State Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University, China.
21546000	Atypical prefrontal connectivity in attention-deficit/hyperactivity disorder: pathway to disease or pathological end point?	Sackler Institute for Developmental Psychobiology, Departments of Psychiatry, Neurology and Neuroscience, Weill Cornell Medical College, New York, NY 10065, USA.
23228510	Coupling between visual alpha oscillations and default mode activity.	J. Crayton Pruitt Family Department of Biomedical Engineering, University of Florida, Gainesville, FL 32611, USA.
23049834	Abnormal brain connectivity patterns in adults with ADHD: a coherence study.	Center of Mathematics, Computation and Cognition, Universidade Federal do ABC, Santo Andre, Brazil. jrsatobr@gmail.com
21080967	Imaging the functional connectivity of the Periaqueductal Gray during genuine and sham electroacupuncture treatment.	Department of Psychiatry, Massachusetts General Hospital, Charlestown, USA. czyloney@gmail.com
21945697	To wake or not to wake? The two-sided nature of the human K-complex.	Department of Neurology and Brain Imaging Center, Goethe University Frankfurt am Main, Schleusenweg 2-16, 60528 Frankfurt am Main, Germany.
23137696	Functional MRI and functional connectivity of the visual system of awake pigeons.	Bio-Imaging Lab, University of Antwerp, Universiteitsplein 1, Wilrijk, Antwerp, Belgium. geert.degroof@ua.ac.be
21798310	Altered regional homogeneity in motor cortices in patients with multiple system atrophy.	Department of Radiology, Peking Union Medical College Hospital, Beijing 100730, China.
20337016	[Brain functions in major depressive disorder: a resting-state functional magnetic resonance imaging study].	Huaxi MR Research Center (HMRRC), West China Hospital, Sichuan University, Chengdu 610041, China.
21611155	Frontal-to-parietal top-down causal streams along the dorsal attention network exclusively mediate voluntary orienting of attention.	Department of Life Sciences, University of Tokyo, Tokyo, Japan. ozt@fechner.c.u-tokyo.ac.jp
19336392	Amygdalofrontal functional disconnectivity and aggression in schizophrenia.	Division of Clinical Research, Nathan Kline Institute, 140 Old Orangeburg Road, Orangeburg, NY 10962, USA. Hoptman@nki.rfmh.org
22735157	Contributions of Low and High Spatial Frequency Processing to Impaired Object Recognition Circuitry in Schizophrenia.	Nathan S. Kline Institute for Psychiatric Research, Orangeburg, NY, USA.
22574175	5-HTTLPR polymorphism impacts task-evoked and resting-state activities of the amygdala in Han Chinese.	State Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University, Beijing, China.
23047839	Brain dysfunction primarily related to previous overt hepatic encephalopathy compared with minimal hepatic encephalopathy: resting-state functional MR imaging demonstration.	Jiangsu Key Laboratory of Molecular and Functional Imaging, Department of Radiology, Zhongda Hospital, Medical School of Southeast University, 87 Dingjiaqiao Rd, Nanjing 210009, China.
22848820	Magnetic resonance imaging in amyotrophic lateral sclerosis.	Department of Neurology, Hannover Medical School, 30625 Hannover, Germany.
18723676	A critical role for the right fronto-insular cortex in switching between central-executive and default-mode networks.	Department of Psychiatry and Behavioral Sciences, Stanford University School of Medicine, Stanford, CA 94305, USA. dsridhar@stanford.edu
19211893	Cortical hubs revealed by intrinsic functional connectivity: mapping, assessment of stability, and relation to Alzheimer's disease.	Department of Psychology and Center for Brain Science, Harvard University, Cambridge, Massachusetts 02138, USA. randy_buckner@harvard.edu
22555821	Multiple resting state network functional connectivity abnormalities in mild traumatic brain injury.	Olin Neuropsychiatry Research Center, The Institute of Living/Hartford Hospital, CT, USA. msteven@harthosp.org
21146507	Alterations in regional homogeneity of baseline brain activity in pediatric temporal lobe epilepsy.	Department of Pediatrics, Oulu University Hospital, Oulu, Finland. katariina.mankinen@oulu.fi
20947065	Altered function and connectivity of the medial frontal cortex in pediatric obsessive-compulsive disorder.	Department of Psychiatry, Medical School, University of Michigan, Ann Arbor, Michigan 48109, USA. krd@umich.eduemail
22906784	Classifying fMRI-derived resting-state connectivity patterns according to their daily rhythmicity.	Institute of Clinical Radiology, Ludwig-Maximilians-University, Munich, Germany.
21529075	Resting-state functional connectivity assessed with two diffuse optical tomographic systems.	State Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University, Beijing 100875, China.
21703350	Effects of transcranial direct current stimulation (tDCS) on human regional cerebral blood flow.	Dept. of Neurology, Harvard Medical School, Boston, MA, USA.
21127016	Anxiety dissociates dorsal and ventral medial prefrontal cortex functional connectivity with the amygdala at rest.	Department of Psychological and Brain Sciences, Dartmouth College, Hanover, NH 03755, USA.
19703568	Addiction related alteration in resting-state brain connectivity.	Division of Bio-X Interdisciplinary Sciences at the Hefei National Laboratory for Physical Sciences at Microscale, Department of Neurobiology & Biophysics, School of Life Sciences, University of Science & Technology of China, Hefei, Anhui, China.
21618660	Neural basis of the association between depressive symptoms and memory deficits in nondemented subjects: resting-state fMRI study.	School of Clinical Medicine, Southeast University, Nanjing, China.
11584306	Searching for a baseline: functional imaging and the resting human brain.	The Mallinckrodt Institute of Radiology, Washington University, St Louis, Missouri 63110, USA.
23022216	Glutamate modulates resting state activity in the perigenual anterior cingulate cortex - a combined fMRI-MRS study.	Department of Psychiatry, LWL University Hospital Bochum, Ruhr-University Bochum, Bochum, Germany.
10642730	Cocaine administration decreases functional connectivity in human primary visual and motor cortex as detected by functional MRI.	Biophysics Research Institute, Medical College of Wisconsin, Milwaukee 53226, USA. sjli@mcw.edu
22260935	Depression recognition using resting-state and event-related fMRI signals.	Research Centre for Learning Science, Southeast University, Nanjing, 210096, China. luq@seu.edu.cn
20890449	Plasticity of brain networks in a randomized intervention trial of exercise training in older adults.	Department of Psychology, Beckman Institute, University of Illinois at Urbana-Champaign IL, USA.
15856081	Antidepressant effect on connectivity of the mood-regulating circuit: an FMRI study.	Department of Psychiatry, Indiana University School of Medicine, Indianapolis, IN 46202, USA. aanand@iupui.edu
22445348	Predicting regional neurodegeneration from the healthy brain functional connectome.	Memory and Aging Center, Department of Neurology, University of California, San Francisco, San Francisco, CA 94143, USA.
22645108	Resting state changes in functional connectivity correlate with movement recovery for BCI and robot-assisted upper-extremity training after stroke.	University of Tübingen, Tübingen, Germany. balint.varkuti@medizin.uni-tuebingen.de
18801442	Neurophysiology of functional imaging.	Department of Neurosurgery, Rudolf Magnus Institute for Neuroscience, University Medical Center, Utrecht, The Netherlands.
22174900	Convergent evidence from multimodal imaging reveals amygdala abnormalities in schizophrenic patients and their first-degree relatives.	Institute of Mental Health, Peking University, Beijing, China.
23159796	Decreased interhemispheric resting-state functional connectivity in first-episode, drug-naive major depressive disorder.	Mental Health Center, the First Affiliated Hospital, Guangxi Medical University, Nanning, Guangxi 530021, China. guowenbin76@163.com
20976563	Development of the brain's functional network architecture.	Department of Neurology, Washington University School of Medicine, St. Louis, MO, USA. vogela@wustl.edu
22359372	The organization of intrinsic brain activity differs between genders: A resting-state fMRI study in a large cohort of young healthy subjects.	Neuroimaging Research Unit, Institute of Experimental Neurology, Scientific Institute and "Vita-Salute" University, Hospital San Raffaele, Milan, Italy; Department of Neurology, Scientific Institute and "Vita-Salute" University, Hospital San Raffaele, Milan, Italy. m.filippi@hsr.it.
20237267	Recovery of sensorimotor function after experimental stroke correlates with restoration of resting-state interhemispheric functional connectivity.	Biomedical Magnetic Resonance Imaging and Spectroscopy Group, Image Sciences Institute, University Medical Center Utrecht, 3584 CX Utrecht, The Netherlands. maurits@invivonmr.uu.nl
19442749	Correlations and anticorrelations in resting-state functional connectivity MRI: a quantitative comparison of preprocessing strategies.	MR Centre of Excellence, Medical University of Vienna, Vienna, Austria. christian.windischberger@meduniwien.ac.at
22519864	Default mode network connectivity in children with a history of preschool onset depression.	Department of Psychiatry, Washington University in St. Louis, Saint Louis, MO 63110, USA. gaffreym@wustl.edu
23129267	Intrinsic connectivity between the hippocampus, nucleus accumbens, and ventral tegmental area in humans.	Department of Physiology and Biophysics, Ruth and Bruce Rappaport Faculty of Medicine and Rappaport Institute, Technion-Israel Institute of Technology, Haifa, Israel. kahn@technion.ac.il
19636388	Mapping Transient Hyperventilation Induced Alterations with Estimates of the Multi-Scale Dynamics of BOLD Signal.	Department of Diagnostic Radiology, Oulu University Hospital Oulu, Finland.
22459914	Prefrontal and limbic resting state brain network functional connectivity differs between nicotine-dependent smokers and non-smoking controls.	Brain Imaging Center, McLean Hospital, Department of Psychiatry, Harvard Medical School, Belmont, MA 02478, USA. ajanes@mclean.harvard.edu
23109152	Alzheimer disease family history impacts resting state functional connectivity.	Department of Neurology, Washington University in Saint Louis, Saint Louis, MO 63110, USA.
19963069	Localization of cerebral functional deficits in treatment-naive, first-episode schizophrenia using resting-state fMRI.	Huaxi MR Research Center (HMRRC), Department of Radiology, West China Hospital of Sichuan University, West China School of Medicine, Chengdu, 610041, China.
22028765	Interaction between dysfunctional connectivity at rest and heroin cues-induced brain responses in male abstinent heroin-dependent individuals.	Life Sciences Research Center, School of Life Sciences and Technology, Xidian University, Xi'an, Shaanxi, China.
